Assembly ID,Fragment 1 Length (bp),Fragment 2 Length (bp)
BASIC_SEVA_15a.10,878,5055
BASIC_SEVA_16.10,878,2113
BASIC_SEVA_17.10,1074,2841
BASIC_SEVA_19.10,878,2766
BASIC_SEVA_17_pKD46.10,1074,2910
BASIC_SEVA_25a.10,878,4943
BASIC_SEVA_26.10,878,2001
BASIC_SEVA_27.10,1074,2729
BASIC_SEVA_29.10,878,2654
BASIC_SEVA_27_pKD46.10,1074,2798
BASIC_SEVA_35a.10,878,4799
BASIC_SEVA_36.10,878,1857
BASIC_SEVA_37.10,1074,2585
BASIC_SEVA_39.10,878,2510
BASIC_SEVA_37_pKD46.10,1074,2654
BASIC_SEVA_45a.10,878,5013
BASIC_SEVA_46.10,878,2071
BASIC_SEVA_47.10,1074,2799
BASIC_SEVA_49.10,878,2724
BASIC_SEVA_47_pKD46.10,1074,2868
BASIC_SEVA_5a5a.10,878,5291
BASIC_SEVA_5a6.10,878,2349
BASIC_SEVA_5a7.10,1074,3077
BASIC_SEVA_5a9.10,878,3002
BASIC_SEVA_5a7_pKD46.10,1074,3146
BASIC_SEVA_65a.10,878,4821
BASIC_SEVA_66.10,878,1879
BASIC_SEVA_67.10,1074,2607
BASIC_SEVA_69.10,878,2532
BASIC_SEVA_67_pKD46.10,1074,2676
